episode,reward,steps,reward_ma_50
469,700.0,287,1110.0
470,500.0,245,1120.0
471,1100.0,363,1126.0
472,500.0,263,1094.0
473,2200.0,559,1130.0
474,1100.0,363,1144.0
475,200.0,220,1116.0
476,1900.0,497,1150.0
477,1900.0,496,1156.0
478,900.0,288,1128.0
479,800.0,304,1128.0
480,600.0,237,1122.0
481,1700.0,450,1138.0
482,500.0,252,1126.0
483,2100.0,508,1160.0
484,2200.0,557,1196.0
485,1200.0,400,1190.0
486,1400.0,374,1200.0
487,1100.0,378,1212.0
488,1100.0,367,1196.0
489,900.0,288,1170.0
490,600.0,285,1160.0
491,2000.0,492,1166.0
492,1100.0,345,1178.0
493,2500.0,601,1178.0
494,1200.0,385,1182.0
495,4200.0,880,1244.0
496,1100.0,373,1260.0
497,2300.0,549,1254.0
498,1400.0,417,1260.0
499,600.0,278,1246.0
500,800.0,335,1244.0
